"uri","sort_name","authority_id","created_by"
"/agents/people/56413","Watson, John B. (John Broadus), 1878-1958","http://id.loc.gov/authorities/names/n79110514","lyrasis-dts"
"/agents/people/56414","Hale, John P. (John Parker), 1806-1873","http://id.loc.gov/authorities/names/n85367681","lyrasis-dts"
"/agents/people/56415","Bellamy, Dodie","http://id.loc.gov/authorities/names/nr92022547","lyrasis-dts"
"/agents/people/56417","Carpenter, F. B. (Francis Bicknell), 1830-1900","http://id.loc.gov/authorities/names/nr92001227","lyrasis-dts"
"/agents/people/56420","Grenfell, Anne, 1885-1938","http://id.loc.gov/authorities/names/no93008368","lyrasis-dts"
"/agents/people/56422","Uspenskiĭ, P. D. (Petr Demʹi︠a︡novich), 1878-1947","http://id.loc.gov/authorities/names/n50046509","lyrasis-dts"
"/agents/people/56428","Westing, Arthur H.","http://id.loc.gov/authorities/names/n79095172","lyrasis-dts"
"/agents/people/56429","Plumer, William, 1759-1850","http://id.loc.gov/authorities/names/n80051677","lyrasis-dts"
"/agents/people/56431","Donaldson, Robert M., 1927-","http://id.loc.gov/authorities/names/n2002013572","lyrasis-dts"
"/agents/people/56433","Morgan, Laura Puffer, 1874-1962","http://id.loc.gov/authorities/names/n90714875","lyrasis-dts"
"/agents/people/56436","Bloch, Sam E.","http://id.loc.gov/authorities/names/n84048096","lyrasis-dts"
"/agents/people/56438","Wilkinson, Oliver Marlow","http://id.loc.gov/authorities/names/nr95006678","lyrasis-dts"
"/agents/people/56439","Dana, Samuel Trask, 1883-1978","http://id.loc.gov/authorities/names/n79056016","lyrasis-dts"
"/agents/people/56441","Fairchild, Blair, 1877-1933","http://id.loc.gov/authorities/names/no94022419","lyrasis-dts"
"/agents/people/56445","Williams, John, 1778-1837","http://id.loc.gov/authorities/names/nr92040382","lyrasis-dts"
"/agents/people/56446","Bruère, Henry","http://id.loc.gov/authorities/names/nr94011815","lyrasis-dts"
"/agents/people/56447","Lungren, Fernand, 1857-1932","http://id.loc.gov/authorities/names/nr00015171","lyrasis-dts"
"/agents/people/56448","Waring, Julius Waties, 1880-1968","http://id.loc.gov/authorities/names/n85281399","lyrasis-dts"
"/agents/people/56449","Hitt, Robert R. (Robert Roberts), 1834-1906","http://id.loc.gov/authorities/names/no91027270","lyrasis-dts"
"/agents/people/56451","Bundy, William P., 1917-2000","http://id.loc.gov/authorities/names/n81025964","lyrasis-dts"
"/agents/people/56459","Pepper, George H. (George Hubbard), 1873-1924","http://id.loc.gov/authorities/names/n96072645","lyrasis-dts"
"/agents/people/56461","Gerson, Max","http://id.loc.gov/authorities/names/n90693038","lyrasis-dts"
"/agents/people/56462","Wilbur, Ray L. (Ray Lyman), 1875-1949","http://id.loc.gov/authorities/names/n79032212","lyrasis-dts"
"/agents/people/56467","Lage, William Potter","http://id.loc.gov/authorities/names/n85005504","lyrasis-dts"
"/agents/people/56470","Norton, Sara, 1864-","http://id.loc.gov/authorities/names/no99013077","lyrasis-dts"
"/agents/people/56473","Gordon, Ruth, 1896-1985","http://id.loc.gov/authorities/names/n80013541","lyrasis-dts"
"/agents/people/56476","Willson, A. Leslie (Amos Leslie), 1923-2007","http://id.loc.gov/authorities/names/n80155940","lyrasis-dts"
"/agents/people/56479","Garlin, Sender","http://id.loc.gov/authorities/names/n91017125","lyrasis-dts"
"/agents/people/56480","Barnard, James M. (James Munson), 1819-1904","http://id.loc.gov/authorities/names/nr99013218","lyrasis-dts"
"/agents/people/56482","Levitin, Howard","http://id.loc.gov/authorities/names/n85056536","lyrasis-dts"
"/agents/people/56484","Chamberlain, William Henry, 1855-","http://id.loc.gov/authorities/names/n82001327","lyrasis-dts"
"/agents/people/56485","Judson, Arthur, 1881-1975","http://id.loc.gov/authorities/names/no98092631","lyrasis-dts"
"/agents/people/56486","Rosenberg, Max","http://id.loc.gov/authorities/names/nr2002021226","lyrasis-dts"
"/agents/people/56488","Abbe, Cleveland, 1838-1916","http://id.loc.gov/authorities/names/n86857891","lyrasis-dts"
"/agents/people/56492","Conner, David, 1792-1856","http://id.loc.gov/authorities/names/nr94022733","lyrasis-dts"
"/agents/people/56497","Bonci, Alessandro, 1870-1940","http://id.loc.gov/authorities/names/n83172190","lyrasis-dts"
"/agents/people/56499","McFeely, William S.","http://id.loc.gov/authorities/names/n80139362","lyrasis-dts"
"/agents/people/56500","Kuncewiczowa, Maria, 1897-1989","http://id.loc.gov/authorities/names/n50077311","lyrasis-dts"
"/agents/people/56504","Seth","http://id.loc.gov/authorities/names/nr95017985","lyrasis-dts"
"/agents/people/56506","Schieffelin, Jacob, 1757-1835","http://id.loc.gov/authorities/names/nr93010188","lyrasis-dts"
"/agents/people/56515","Lloyd, Lewis L.","http://id.loc.gov/authorities/names/n97840620","lyrasis-dts"
"/agents/people/56517","Degli Uberti, Ubaldo, 1881-1945","http://id.loc.gov/authorities/names/no2010038657","lyrasis-dts"
"/agents/people/56518","Richardson, Elliot L., 1920-1999","http://id.loc.gov/authorities/names/n50044922","lyrasis-dts"
"/agents/people/56520","Thompson, John D.","http://id.loc.gov/authorities/names/n85025018","lyrasis-dts"
"/agents/people/56523","Parry, C. C. (Charles Christopher), 1823-1890","http://id.loc.gov/authorities/names/n86873137","lyrasis-dts"
"/agents/people/56524","Weber, Max, 1864-1920","http://id.loc.gov/authorities/names/n79043351","lyrasis-dts"
"/agents/people/56530","Bradburn, Juan Davis, 1787-1842","http://id.loc.gov/authorities/names/n82100984","lyrasis-dts"
"/agents/people/56532","Freier, Recha","http://id.loc.gov/authorities/names/n85269791","lyrasis-dts"
"/agents/people/56535","Coventry, Henry, 1619-1686","http://id.loc.gov/authorities/names/n84121111","lyrasis-dts"
"/agents/people/56536","Bonsal, Stephen, 1865-1951","http://id.loc.gov/authorities/names/n88681914","lyrasis-dts"
"/agents/people/56541","Macomb, Alexander, 1782-1841","http://id.loc.gov/authorities/names/n82116850","lyrasis-dts"
"/agents/people/56543","Robinson, Constance","http://id.loc.gov/authorities/names/n99051271","lyrasis-dts"
"/agents/people/56547","Tert︠s︡, Abram, 1925-1997","http://id.loc.gov/authorities/names/n80073839","lyrasis-dts"
"/agents/people/56549","Terry, Alfred Howe, 1827-1890","http://id.loc.gov/authorities/names/n81042336","lyrasis-dts"
"/agents/people/56550","Storer, Maria Longworth, 1849-1932","http://id.loc.gov/authorities/names/n93095496","lyrasis-dts"
"/agents/people/56553","Riggs, T. Lawrason (Thomas Lawrason), 1888-1943","http://id.loc.gov/authorities/names/no96045113","lyrasis-dts"
"/agents/people/56559","Fitts, Dudley, 1903-1968","http://id.loc.gov/authorities/names/n84151643","lyrasis-dts"
"/agents/people/56562","Sharpey-Schäfer, E. A., Sir (Edward Albert), 1850-1935","http://id.loc.gov/authorities/names/no98127198","lyrasis-dts"
"/agents/people/56563","Julsrud, Waldemar","http://id.loc.gov/authorities/names/n83129341","lyrasis-dts"
"/agents/people/56567","Metcalf, Lorettus Sutton, 1837-1920","http://id.loc.gov/authorities/names/n85096507","lyrasis-dts"
"/agents/people/56569","Twain, Mark, (Spirit), 1835-1910","http://id.loc.gov/authorities/names/n82045653","lyrasis-dts"
"/agents/people/56571","Monck, Walter Nugent Bligh, 1878-1958","http://id.loc.gov/authorities/names/n86102180","lyrasis-dts"
"/agents/people/56575","Eardley-Wilmot, John, 1750-1815","http://id.loc.gov/authorities/names/n85185419","lyrasis-dts"
"/agents/people/56576","Feydeau, Ernest, 1821-1873","http://id.loc.gov/authorities/names/no2001053944","lyrasis-dts"
"/agents/people/56579","Pickens, F. W. (Francis Wilkinson), 1805-1869","http://id.loc.gov/authorities/names/n85824165","lyrasis-dts"
"/agents/people/56581","Meiklejohn, Alexander, 1872-1964","http://id.loc.gov/authorities/names/n78092889","lyrasis-dts"
"/agents/people/56584","Grant, Edward","http://id.loc.gov/authorities/names/n78088587","lyrasis-dts"
"/agents/people/56585","Williams, Bill, 1931-","http://id.loc.gov/authorities/names/n84157797","lyrasis-dts"
"/agents/people/56591","Baldwin, Henry, 1780-1844","http://id.loc.gov/authorities/names/n88002721","lyrasis-dts"
"/agents/people/56596","Streeton, Arthur, Sir, 1867-1943","http://id.loc.gov/authorities/names/n89664455","lyrasis-dts"
"/agents/people/56611","Deutsch, Bernard S. (Bernard Seymour), 1884-1935","http://id.loc.gov/authorities/names/n95080819","lyrasis-dts"
"/agents/people/56613","Berry, Agnes, 1764-1852","http://id.loc.gov/authorities/names/no2008049643","lyrasis-dts"
"/agents/people/56615","Dahlberg, Edward, 1900-1977","http://id.loc.gov/authorities/names/n50036488","lyrasis-dts"
"/agents/people/56619","Troxell, Janet Camp","http://id.loc.gov/authorities/names/no2005088995","lyrasis-dts"
"/agents/people/56624","Lucey, Robert Emmet, 1891-1977","http://id.loc.gov/authorities/names/n81115863","lyrasis-dts"
"/agents/people/56628","Darley, Ward, 1903-1979","http://id.loc.gov/authorities/names/no00050581","lyrasis-dts"
"/agents/people/56630","Schetky, G. (George), 1776-1831","http://id.loc.gov/authorities/names/nr95041520","lyrasis-dts"
"/agents/people/56636","Vanderbilt, Cornelius, 1843-1899","http://id.loc.gov/authorities/names/nr93016230","lyrasis-dts"
"/agents/people/56640","Roberts, T. W.","http://id.loc.gov/authorities/names/n82103644","lyrasis-dts"
"/agents/people/56641","Andrews, James De Witt, 1856-1928","http://id.loc.gov/authorities/names/n85199986","lyrasis-dts"
"/agents/people/56643","Platner, Warren, 1919-2006","http://id.loc.gov/authorities/names/n82087063","lyrasis-dts"
"/agents/people/56651","Officer, Morris, 1823-1874","http://id.loc.gov/authorities/names/no93025953","lyrasis-dts"
"/agents/people/56656","Lee, Li-Young, 1957-","http://id.loc.gov/authorities/names/n88615728","lyrasis-dts"
"/agents/people/56657","Bory, Jean-François, 1938-","http://id.loc.gov/authorities/names/n80106821","lyrasis-dts"
"/agents/people/56659","Varnum, Charles Albert, 1849-1936","http://id.loc.gov/authorities/names/n82146167","lyrasis-dts"
"/agents/people/56660","Sektberg, Willard, 1902-1989","http://id.loc.gov/authorities/names/n2006064133","lyrasis-dts"
"/agents/people/56661","Tyler, Joseph","http://id.loc.gov/authorities/names/no2016078381","lyrasis-dts"
"/agents/people/56662","Carter, Edward C. (Edward Clark), 1878-1954","http://id.loc.gov/authorities/names/n87837368","lyrasis-dts"
"/agents/people/56666","Schnakenberg, H. E. (Henry Ernest), 1892-1970","http://id.loc.gov/authorities/names/nr96007375","lyrasis-dts"
"/agents/people/56667","Kahn, Eugen, 1887-","http://id.loc.gov/authorities/names/nr98011627","lyrasis-dts"
"/agents/people/56671","Hertz, Zygmunt, 1908-1979","http://id.loc.gov/authorities/names/no92029488","lyrasis-dts"
"/agents/people/56672","Fish, Stuyvesant, 1851-1923","http://id.loc.gov/authorities/names/n88218774","lyrasis-dts"
"/agents/people/56674","Pryor, Samuel F., Jr. (Samuel Frazier), 1898-1985","http://id.loc.gov/authorities/names/n98012991","lyrasis-dts"
"/agents/people/56676","Pope, G. (Gustave)","http://id.loc.gov/authorities/names/no2011024276","lyrasis-dts"
"/agents/people/56677","Fritsch, Werner Thomas Ludwig, Freiherr von, 1880-1939","http://id.loc.gov/authorities/names/n94064563","lyrasis-dts"
"/agents/people/56683","Francis, J. G. (Joseph Greene), 1849-1930","http://id.loc.gov/authorities/names/n85236450","lyrasis-dts"
