uri,sort_name,authority_id,created_by,
/agents/people/57020,"Jones, Leonard A. (Leonard Augustus), 1832-1909",http://id.loc.gov/authorities/names/n85363396,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57038,"Keith, Joseph Joel",http://id.loc.gov/authorities/names/n92022570,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57068,"Tweedy, Donald, 1890-1948",http://id.loc.gov/authorities/names/no93031551,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57071,"Nathan, Adele Gutman",http://id.loc.gov/authorities/names/n88116787,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57082,"Plantinga, Leon",http://id.loc.gov/authorities/names/n82224935,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57090,"Brown, Isaac V. (Isaac Van Arsdale), 1784-1861",http://id.loc.gov/authorities/names/n88664903,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57098,"Krigbaum, Charles",http://id.loc.gov/authorities/names/nr92029126,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57107,"Junge, Ewald",http://id.loc.gov/authorities/names/n85098108,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57114,"Tracey, Joshua Irving, 1883-1963",http://id.loc.gov/authorities/names/n87833540,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57134,"Miller, Samuel Howard, 1900-1968",http://id.loc.gov/authorities/names/n82040040,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57148,"Sherman, William David",http://id.loc.gov/authorities/names/n87122860,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57155,"Strong, Lewis, 1785-1863",http://id.loc.gov/authorities/names/nr2002022627,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57162,"Beeckman, Margaret Gardiner, 1822-1857",http://id.loc.gov/authorities/names/n97050048,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57166,"Riesen, Austin H. (Austin Herbert)",http://id.loc.gov/authorities/names/n89140770,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57192,"Laves, Walter H. C. (Walter Herman Carl), 1902-1983",http://id.loc.gov/authorities/names/no98100615,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57196,"Wünsch, Albert",http://id.loc.gov/authorities/names/n82165579,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57199,"Jackson, Joan K.",http://id.loc.gov/authorities/names/n91065467,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57208,"Weyerhaeuser, Frederick King",http://id.loc.gov/authorities/names/n97027876,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57218,"Herbert, Henry William, 1807-1858",http://id.loc.gov/authorities/names/n50068733,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57230,"Pervushin, N. V. (Nikolaĭ Vsevolodovich), 1899-",http://id.loc.gov/authorities/names/n88165682,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57247,"Dayan, Anthony D.",http://id.loc.gov/authorities/names/n85324666,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57264,"Tamás, István",http://id.loc.gov/authorities/names/n2005064350,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57281,"Vivian, James R.",http://id.loc.gov/authorities/names/n87125848,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57292,"Winch, John, 1888-1952",http://id.loc.gov/authorities/names/no97058533,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57297,"Powys, Marian, 1882-1972",http://id.loc.gov/authorities/names/n81060154,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57301,"Williams, William Frederic, 1818-1871",http://id.loc.gov/authorities/names/nr2001021053,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57305,"Corrigan, Francis P. (Francis Patrick), 1881-1968",http://id.loc.gov/authorities/names/no2004029876,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57307,"Smith, George H. (George Hathorn), 1885-1952",http://id.loc.gov/authorities/names/no2011066479,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57315,"Palčiauskas, Kazimieras, 1907-1992",http://id.loc.gov/authorities/names/n95059760,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57343,"Platt, Robert S. (Robert Swanton), 1891-1964",http://id.loc.gov/authorities/names/n83154974,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57351,"Peter, W. W. (William Wesley), 1882-",http://id.loc.gov/authorities/names/n85248760,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57354,"Stevenson, Philip",http://id.loc.gov/authorities/names/n85008619,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57359,"Rees, J. C. (John Collwyn)",http://id.loc.gov/authorities/names/n82256237,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57378,"Drury, Samuel S. (Samuel Smith), 1878-1938",http://id.loc.gov/authorities/names/n97025133,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57381,"Gardner, Ian, 1944-",http://id.loc.gov/authorities/names/n85349090,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57398,"Robbins, Elizabeth, 1746-1829",http://id.loc.gov/authorities/names/nr2001041428,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/57427,"Cheney, Mary Bushnell, 1840-1917",http://id.loc.gov/authorities/names/no2002028269,lyrasis-dts,Could not retrieve Wikidata URI
