uri,sort_name,authority_id,created_by,
/agents/people/74286,"Poitier, Sidney, 1927-",http://id.loc.gov/authorities/names/n79095315,amd243,http://www.wikidata.org/entity/Q104049
/agents/people/81398,"Wallach, Eli, 1915-2014",http://id.loc.gov/authorities/names/n81110577,amd243,http://www.wikidata.org/entity/Q104067
/agents/people/60421,"Durham, Carl Thomas, 1892-1974",http://id.loc.gov/authorities/names/n94077953,lyrasis-dts,http://www.wikidata.org/entity/Q1040749
/agents/people/67890,"Pickford, Mary, 1892-1979",http://id.loc.gov/authorities/names/n50019725,amd243,http://www.wikidata.org/entity/Q104109
/agents/people/91213,"Zigrosser, Carl, 1891-1975",http://id.loc.gov/authorities/names/n50013546,lyrasis-dts,http://www.wikidata.org/entity/Q1041234
/agents/people/73846,"Hatcher, J. B. (John Bell), 1861-1904",http://id.loc.gov/authorities/names/n79145545,lyrasis-dts,http://www.wikidata.org/entity/Q1041829
/agents/people/73798,"Gish, Lillian, 1893-1993",http://id.loc.gov/authorities/names/n50033290,amd243,http://www.wikidata.org/entity/Q104183
/agents/people/56893,"Walpole, Robert, Earl of Orford, 1676-1745",http://id.loc.gov/authorities/names/n50024509,lyrasis-dts,http://www.wikidata.org/entity/Q104190
/agents/people/70787,"Franqui, Carlos, 1921-2010",http://id.loc.gov/authorities/names/n79115269,lyrasis-dts,http://www.wikidata.org/entity/Q1042915
/agents/people/84889,"Giedion-Welcker, Carola",http://id.loc.gov/authorities/names/n50033431,lyrasis-dts,http://www.wikidata.org/entity/Q1044221
/agents/people/68415,"Ware, Caroline F. (Caroline Farrar), 1899-1990",http://id.loc.gov/authorities/names/n50022064,lyrasis-dts,http://www.wikidata.org/entity/Q1044488
/agents/people/84498,"Robbins, Caroline",http://id.loc.gov/authorities/names/n82009847,lyrasis-dts,http://www.wikidata.org/entity/Q1044546
/agents/people/60152,"Holborn, Hajo, 1902-1969",http://id.loc.gov/authorities/names/n50042244,lyrasis-dts,http://www.wikidata.org/entity/Q104543
/agents/people/87748,"Morrill, Justin S. (Justin Smith), 1810-1898",http://id.loc.gov/authorities/names/no89019451,amd243,http://www.wikidata.org/entity/Q1045864
/agents/people/87643,"Glass, Carter, 1858-1946",http://id.loc.gov/authorities/names/n82098418,lyrasis-dts,http://www.wikidata.org/entity/Q1045879
/agents/corporate_entities/11936,Industrial Workers of the World,http://id.loc.gov/authorities/names/n80079695,lyrasis-dts,http://www.wikidata.org/entity/Q1046722
/agents/people/72233,"Nehru, Jawaharlal, 1889-1964",http://id.loc.gov/authorities/names/n79109335,amd243,http://www.wikidata.org/entity/Q1047
/agents/people/60853,"Shakespeare, William, 1564-1616 ($t: Comedy of A midsummer night's dream)",http://id.loc.gov/authorities/names/n79151243,amd243,http://www.wikidata.org/entity/Q104871
/agents/corporate_entities/11275,Yeshiva University,http://id.loc.gov/authorities/names/n79125873,lyrasis-dts,http://www.wikidata.org/entity/Q1048851
/agents/people/61442,"Fauré, Gabriel, 1845-1924",http://id.loc.gov/authorities/names/n81018450,amd243,http://www.wikidata.org/entity/Q104919
/agents/corporate_entities/10200,United States. Army. Corps of Engineers,http://id.loc.gov/authorities/names/n79069640,lyrasis-dts,http://www.wikidata.org/entity/Q1049334
/agents/people/69758,"Powell, Adam Clayton, Jr., 1908-1972",http://id.loc.gov/authorities/names/n82012171,amd243,http://www.wikidata.org/entity/Q1050018
/agents/people/94176,"Aykroyd, Dan",http://id.loc.gov/authorities/names/n80062617,mbg25,http://www.wikidata.org/entity/Q105221
/agents/people/67418,"Spring Rice, Cecil, Sir, 1859-1918",http://id.loc.gov/authorities/names/n90621828,amd243,http://www.wikidata.org/entity/Q1052356
/agents/people/56919,"Roth, Cecil, 1899-1970",http://id.loc.gov/authorities/names/n80004154,lyrasis-dts,http://www.wikidata.org/entity/Q1052358
/agents/people/57178,"Meyerbeer, Giacomo, 1791-1864",http://id.loc.gov/authorities/names/n79140961,amd243,http://www.wikidata.org/entity/Q105237
/agents/corporate_entities/11458,"Center for Hellenic Studies (Washington, D.C.)",http://id.loc.gov/authorities/names/n50028344,lyrasis-dts,http://www.wikidata.org/entity/Q1053592
/agents/people/72510,"Kaunda, Kenneth D. (Kenneth David), 1924-",http://id.loc.gov/authorities/names/n80037605,amd243,http://www.wikidata.org/entity/Q105480
/agents/corporate_entities/11709,Cercle et carré (Group),http://id.loc.gov/authorities/names/n85233860,lyrasis-dts,http://www.wikidata.org/entity/Q1054837
/agents/people/92912,"Balbo, Italo, 1896-1940",http://id.loc.gov/authorities/names/n80137703,amd243,http://www.wikidata.org/entity/Q1056
/agents/people/77215,"Bourinot, John George, 1837-1902",http://id.loc.gov/authorities/names/n50042132,lyrasis-dts,http://www.wikidata.org/entity/Q10564865
/agents/people/78900,"Hunyady, Sándor, 1890-1942",http://id.loc.gov/authorities/names/n84142342,amd243,http://www.wikidata.org/entity/Q1056533
/agents/people/79141,"Huzella, Tivadar, 1886-1951",http://id.loc.gov/authorities/names/n87110515,lyrasis-dts,http://www.wikidata.org/entity/Q1056671
/agents/people/56404,"Updike, John, 1932-2009",http://id.loc.gov/authorities/names/n79018616,amd243,http://www.wikidata.org/entity/Q105756
/agents/corporate_entities/12891,"Metropolitan Opera (New York, N.Y.)",http://id.loc.gov/authorities/names/n50074748,lyrasis-dts,http://www.wikidata.org/entity/Q10583424
/agents/people/93443,"Loy, Myrna, 1905-1993",http://id.loc.gov/authorities/names/n80098354,amd243,http://www.wikidata.org/entity/Q105941
/agents/people/67353,"May, Rollo, 1909-",http://id.loc.gov/authorities/names/n50007062,amd243,http://www.wikidata.org/entity/Q1059597
/agents/people/88612,"Chantavoine, Jean, 1877-1952",http://id.loc.gov/authorities/names/nr95047013,lyrasis-dts,http://www.wikidata.org/entity/Q1059734
/agents/people/65523,"Chevalier, Maurice, 1888-1972",http://id.loc.gov/authorities/names/n81053595,amd243,http://www.wikidata.org/entity/Q106001
/agents/people/68961,"Wohmann, Gabriele, 1932-2015",http://id.loc.gov/authorities/names/n50014746,amd243,http://www.wikidata.org/entity/Q106073
/agents/people/69805,"Pepys, Samuel, 1633-1703",http://id.loc.gov/authorities/names/n79018796,lyrasis-dts,http://www.wikidata.org/entity/Q106143
/agents/people/74962,"Webster, Daniel, 1782-1852",http://id.loc.gov/authorities/names/n80034929,amd243,http://www.wikidata.org/entity/Q106231
/agents/people/22695,"Sainte-Beuve, Charles Augustin, 1804-1869",http://id.loc.gov/authorities/names/n79109337,amd243,http://www.wikidata.org/entity/Q1063392
/agents/people/73073,"Dufresnoy, Charles-Alphonse, 1611-1668",http://id.loc.gov/authorities/names/n85005974,lyrasis-dts,http://www.wikidata.org/entity/Q1063557
/agents/people/74486,"Joy, Charles A. (Charles Arad), 1823-1891",http://id.loc.gov/authorities/names/no97065694,lyrasis-dts,http://www.wikidata.org/entity/Q1063575
/agents/people/67208,"Lindbergh, Charles A. (Charles August), 1859-1924",http://id.loc.gov/authorities/names/n84124732,lyrasis-dts,http://www.wikidata.org/entity/Q1063612
/agents/people/57638,"Deane, Charles Bennett, 1898-1969",http://id.loc.gov/authorities/names/n92011050,lyrasis-dts,http://www.wikidata.org/entity/Q1063636
/agents/people/58597,"Baudin, Charles, 1784-1854",http://id.loc.gov/authorities/names/n2003123743,lyrasis-dts,http://www.wikidata.org/entity/Q1063698
/agents/people/74377,"Blagden, Charles, Sir, 1748-1820",http://id.loc.gov/authorities/names/nr91013662,lyrasis-dts,http://www.wikidata.org/entity/Q1063743
/agents/corporate_entities/8573,United States. Office of Naval Research,http://id.loc.gov/authorities/names/n78085480,lyrasis-dts,http://www.wikidata.org/entity/Q1063818
/agents/people/66367,"Townsend, Charles E. (Charles Elroy), 1856-1924",http://id.loc.gov/authorities/names/no2008188960,lyrasis-dts,http://www.wikidata.org/entity/Q1064231
/agents/people/65489,"Wilson, Charles Erwin, 1890-1961",http://id.loc.gov/authorities/names/n94079033,amd243,http://www.wikidata.org/entity/Q1064288
/agents/people/71179,"Scott, C.F. (Charles Felton), 1864-1944",http://id.loc.gov/authorities/names/no2011036974,lyrasis-dts,http://www.wikidata.org/entity/Q1064330
/agents/people/89346,"Ward, Artemus, 1834-1867",http://id.loc.gov/authorities/names/n50042800,amd243,http://www.wikidata.org/entity/Q1064338
/agents/people/86700,"Bruch, Max, 1838-1920",http://id.loc.gov/authorities/names/n81125409,amd243,http://www.wikidata.org/entity/Q106434
/agents/people/76029,"Adams, Charles Francis, 1835-1915",http://id.loc.gov/authorities/names/n50036838,lyrasis-dts,http://www.wikidata.org/entity/Q1064413
/agents/people/80425,"Hartt, Charles Frederick, 1840-1878",http://id.loc.gov/authorities/names/n85811795,lyrasis-dts,http://www.wikidata.org/entity/Q1064436
/agents/people/79501,"Percy, Charles H., 1919-2011",http://id.loc.gov/authorities/names/n50009663,amd243,http://www.wikidata.org/entity/Q1064692
/agents/people/60887,"Sternberg, Charles H. (Charles Hazelius), 1850-",http://id.loc.gov/authorities/names/n87132945,lyrasis-dts,http://www.wikidata.org/entity/Q1064705
/agents/people/88422,"Hapgood, Charles H.",http://id.loc.gov/authorities/names/n79141391,lyrasis-dts,http://www.wikidata.org/entity/Q1064750
/agents/people/71028,"Ford, Charles Henri, 1908-2002",http://id.loc.gov/authorities/names/n80037920,amd243,http://www.wikidata.org/entity/Q1064794
/agents/people/92721,"Mayo, Charles H. (Charles Horace), 1865-1939",http://id.loc.gov/authorities/names/n50007342,amd243,http://www.wikidata.org/entity/Q1064894
/agents/people/56904,"Peck, Charles H. (Charles Horton), 1833-1917",http://id.loc.gov/authorities/names/n88030646,lyrasis-dts,http://www.wikidata.org/entity/Q1064899
/agents/corporate_entities/13792,United Nations,http://id.loc.gov/authorities/names/n79021345,mc2343,http://www.wikidata.org/entity/Q1065
/agents/people/73406,"Jones, Charles, 1910-1997",http://id.loc.gov/authorities/names/nr91008444,amd243,http://www.wikidata.org/entity/Q1065102
/agents/people/81875,"Tuckerman, Charles K. (Charles Keating), 1821-1896",http://id.loc.gov/authorities/names/n87133690,lyrasis-dts,http://www.wikidata.org/entity/Q1065145
/agents/people/84729,"Meek, C. K. (Charles Kingsley), 1885-1965",http://id.loc.gov/authorities/names/n50009961,lyrasis-dts,http://www.wikidata.org/entity/Q1065171
/agents/people/93600,"Morgan, Charles, 1894-1958",http://id.loc.gov/authorities/names/n50005816,amd243,http://www.wikidata.org/entity/Q1065287
/agents/people/84127,"Russell, Charles M. (Charles Marion), 1864-1926",http://id.loc.gov/authorities/names/n79141020,amd243,http://www.wikidata.org/entity/Q1065418
/agents/people/91982,"Marsh, Charles, 1765-1849",http://id.loc.gov/authorities/names/n85221007,lyrasis-dts,http://www.wikidata.org/entity/Q1065454
/agents/people/88406,"Chassaignac, E. (Édouard), 1804-1879",http://id.loc.gov/authorities/names/no2011124272,amd243,http://www.wikidata.org/entity/Q1065462
