lc_uri,snac_ark
http://id.loc.gov/authorities/names/n79056446,http://n2t.net/ark:/99166/w6gj02k4
http://id.loc.gov/authorities/names/no93008368,http://n2t.net/ark:/99166/w66b50g9
http://id.loc.gov/authorities/names/n50046509,http://n2t.net/ark:/99166/w60f184s
http://id.loc.gov/authorities/names/n50033409,http://n2t.net/ark:/99166/w6zg6tfc
http://id.loc.gov/authorities/names/n79095172,http://n2t.net/ark:/99166/w6hx5fzm
http://id.loc.gov/authorities/names/n80051677,http://n2t.net/ark:/99166/w6w37zhw
http://id.loc.gov/authorities/names/n81132090,http://n2t.net/ark:/99166/w6sf2tgd
http://id.loc.gov/authorities/names/n90714875,http://n2t.net/ark:/99166/w6m04rkn
http://id.loc.gov/authorities/names/n79056016,http://n2t.net/ark:/99166/w6612nb4
http://id.loc.gov/authorities/names/no94022419,http://n2t.net/ark:/99166/w68w3r7n
http://id.loc.gov/authorities/names/nr92040382,http://n2t.net/ark:/99166/w64488n9
http://id.loc.gov/authorities/names/nr00015171,http://n2t.net/ark:/99166/w62f7z05
http://id.loc.gov/authorities/names/n85281399,http://n2t.net/ark:/99166/w6j103dr
http://id.loc.gov/authorities/names/no91027270,http://n2t.net/ark:/99166/w64x6bs3
http://id.loc.gov/authorities/names/n81025964,http://n2t.net/ark:/99166/w6p84s2q
http://id.loc.gov/authorities/names/n79070061,http://n2t.net/ark:/99166/w6bk19fq
http://id.loc.gov/authorities/names/n81129633,http://n2t.net/ark:/99166/w6x92f0f
http://id.loc.gov/authorities/names/n96072645,http://n2t.net/ark:/99166/w6kh1c5f
http://id.loc.gov/authorities/names/n90693038,http://n2t.net/ark:/99166/w6h436rb
http://id.loc.gov/authorities/names/n79032212,http://n2t.net/ark:/99166/w6r21356
http://id.loc.gov/authorities/names/n85005504,http://n2t.net/ark:/99166/w6mc9zx9
http://id.loc.gov/authorities/names/no99013077,http://n2t.net/ark:/99166/w64t6pkh
http://id.loc.gov/authorities/names/n82136766,http://n2t.net/ark:/99166/w66h52pj
http://id.loc.gov/authorities/names/n80013541,http://n2t.net/ark:/99166/w6891wb1
http://id.loc.gov/authorities/names/n80155940,http://n2t.net/ark:/99166/w6m748vv
http://id.loc.gov/authorities/names/n81048042,http://n2t.net/ark:/99166/w6474c67
http://id.loc.gov/authorities/names/n91017125,http://n2t.net/ark:/99166/w6g457xf
http://id.loc.gov/authorities/names/nr99013218,http://n2t.net/ark:/99166/w6v704vv
http://id.loc.gov/authorities/names/n85056536,http://n2t.net/ark:/99166/w6db8nfq
http://id.loc.gov/authorities/names/n82001327,http://n2t.net/ark:/99166/w67m4cgj
http://id.loc.gov/authorities/names/no98092631,http://n2t.net/ark:/99166/w6wh2nq3
http://id.loc.gov/authorities/names/n80044863,http://n2t.net/ark:/99166/w6pv6hhv
http://id.loc.gov/authorities/names/n86857891,http://n2t.net/ark:/99166/w6d22129
http://id.loc.gov/authorities/names/nr94022733,http://n2t.net/ark:/99166/w6z60qh0
http://id.loc.gov/authorities/names/n87149250,http://n2t.net/ark:/99166/w6x92p44
http://id.loc.gov/authorities/names/n83172190,http://n2t.net/ark:/99166/w6qc0zjw
http://id.loc.gov/authorities/names/n50077311,http://n2t.net/ark:/99166/w6ht6rqj
http://id.loc.gov/authorities/names/nr93010188,http://n2t.net/ark:/99166/w6891k2q
http://id.loc.gov/authorities/names/n97840620,http://n2t.net/ark:/99166/w69k7k79
http://id.loc.gov/authorities/names/no2010038657,http://n2t.net/ark:/99166/w612683r
http://id.loc.gov/authorities/names/n50044922,http://n2t.net/ark:/99166/w6708164
http://id.loc.gov/authorities/names/n86873137,http://n2t.net/ark:/99166/w69k4w4j
http://id.loc.gov/authorities/names/n79043351,http://n2t.net/ark:/99166/w6qz2hbf
http://id.loc.gov/authorities/names/n82100984,http://n2t.net/ark:/99166/w6gt6p00
http://id.loc.gov/authorities/names/n85269791,http://n2t.net/ark:/99166/w6hg34nm
http://id.loc.gov/authorities/names/n84121111,http://n2t.net/ark:/99166/w6jh46ng
http://id.loc.gov/authorities/names/n88681914,http://n2t.net/ark:/99166/w6vq378f
http://id.loc.gov/authorities/names/n50006481,http://n2t.net/ark:/99166/w6dn46m5
http://id.loc.gov/authorities/names/n87890337,http://n2t.net/ark:/99166/w6319x31
http://id.loc.gov/authorities/names/n82116850,http://n2t.net/ark:/99166/w6fr00bx
http://id.loc.gov/authorities/names/n99051271,http://n2t.net/ark:/99166/w61c603j
http://id.loc.gov/authorities/names/n50012568,http://n2t.net/ark:/99166/w6vq342h
http://id.loc.gov/authorities/names/n81042336,http://n2t.net/ark:/99166/w6kw5srb
http://id.loc.gov/authorities/names/n93095496,http://n2t.net/ark:/99166/w69w111t
http://id.loc.gov/authorities/names/no96045113,http://n2t.net/ark:/99166/w60g442q
http://id.loc.gov/authorities/names/no94036636,http://n2t.net/ark:/99166/w6w38gcp
http://id.loc.gov/authorities/names/n85248166,http://n2t.net/ark:/99166/w6z321s1
http://id.loc.gov/authorities/names/n84151643,http://n2t.net/ark:/99166/w6g73x37
http://id.loc.gov/authorities/names/n79004009,http://n2t.net/ark:/99166/w63j7xkq
http://id.loc.gov/authorities/names/n83129341,http://n2t.net/ark:/99166/w6d79wm6
http://id.loc.gov/authorities/names/n50000555,http://n2t.net/ark:/99166/w62805wx
http://id.loc.gov/authorities/names/n85096507,http://n2t.net/ark:/99166/w67h25ft
http://id.loc.gov/authorities/names/n79139415,http://n2t.net/ark:/99166/w6rj4mvb
http://id.loc.gov/authorities/names/n82045653,http://n2t.net/ark:/99166/w6988t7g
http://id.loc.gov/authorities/names/n85185419,http://n2t.net/ark:/99166/w6fx7vr1
http://id.loc.gov/authorities/names/no2001053944,http://n2t.net/ark:/99166/w6jq12jd
http://id.loc.gov/authorities/names/n81010515,http://n2t.net/ark:/99166/w6b01fmr
http://id.loc.gov/authorities/names/n85824165,http://n2t.net/ark:/99166/w68w3cdb
http://id.loc.gov/authorities/names/n78092889,http://n2t.net/ark:/99166/w6028w09
http://id.loc.gov/authorities/names/n80067179,http://n2t.net/ark:/99166/w6s18205
http://id.loc.gov/authorities/names/n85359803,http://n2t.net/ark:/99166/w6jt064b
http://id.loc.gov/authorities/names/n88002721,http://n2t.net/ark:/99166/w63b6jm5
http://id.loc.gov/authorities/names/n89664455,http://n2t.net/ark:/99166/w6zk5gm4
http://id.loc.gov/authorities/names/n87857705,http://n2t.net/ark:/99166/w6sx6k4c
http://id.loc.gov/authorities/names/n95080819,http://n2t.net/ark:/99166/w6ww908v
http://id.loc.gov/authorities/names/no2008049643,http://n2t.net/ark:/99166/w60z7nj5
http://id.loc.gov/authorities/names/n50036488,http://n2t.net/ark:/99166/w6zk5gv8
http://id.loc.gov/authorities/names/n78043895,http://n2t.net/ark:/99166/w68t5cwp
http://id.loc.gov/authorities/names/no2005088995,http://n2t.net/ark:/99166/w63j3hhb
http://id.loc.gov/authorities/names/n82162707,http://n2t.net/ark:/99166/w63t9v7x
http://id.loc.gov/authorities/names/n50027299,http://n2t.net/ark:/99166/w6k651gr
http://id.loc.gov/authorities/names/n81115863,http://n2t.net/ark:/99166/w6s18r47
http://id.loc.gov/authorities/names/no00050581,http://n2t.net/ark:/99166/w6nw0fm4
http://id.loc.gov/authorities/names/nr95041520,http://n2t.net/ark:/99166/w60g44j0
http://id.loc.gov/authorities/names/nr93016230,http://n2t.net/ark:/99166/w6jq1cg7
http://id.loc.gov/authorities/names/no2011057037,http://n2t.net/ark:/99166/w6474x1m
http://id.loc.gov/authorities/names/n82087063,http://n2t.net/ark:/99166/w63n2pvj
http://id.loc.gov/authorities/names/n80069022,http://n2t.net/ark:/99166/w68p61nd
http://id.loc.gov/authorities/names/n50043422,http://n2t.net/ark:/99166/w65d96t5
http://id.loc.gov/authorities/names/n79038473,http://n2t.net/ark:/99166/w61r75w3
http://id.loc.gov/authorities/names/no93025953,http://n2t.net/ark:/99166/w6hj0cb1
http://id.loc.gov/authorities/names/n83149239,http://n2t.net/ark:/99166/w6tq746h
http://id.loc.gov/authorities/names/n88615728,http://n2t.net/ark:/99166/w6805mck
http://id.loc.gov/authorities/names/n80106821,http://n2t.net/ark:/99166/w6gf10v7
http://id.loc.gov/authorities/names/n82146167,http://n2t.net/ark:/99166/w6b60n70
http://id.loc.gov/authorities/names/n87837368,http://n2t.net/ark:/99166/w6tm902s
http://id.loc.gov/authorities/names/nr96007375,http://n2t.net/ark:/99166/w6kp87v4
http://id.loc.gov/authorities/names/nr98011627,http://n2t.net/ark:/99166/w65q8zr3
http://id.loc.gov/authorities/names/no92029488,http://n2t.net/ark:/99166/w67d3f6b
http://id.loc.gov/authorities/names/n88218774,http://n2t.net/ark:/99166/w6k07qqv
http://id.loc.gov/authorities/names/n98012991,http://n2t.net/ark:/99166/w6z32k0b
http://id.loc.gov/authorities/names/n79133798,http://n2t.net/ark:/99166/w6gb23ff
http://id.loc.gov/authorities/names/n94064563,http://n2t.net/ark:/99166/w6xd3dcc
http://id.loc.gov/authorities/names/n85236450,http://n2t.net/ark:/99166/w6pp90xf
http://id.loc.gov/authorities/names/n85046465,http://n2t.net/ark:/99166/w6fr0153
http://id.loc.gov/authorities/names/n86838935,http://n2t.net/ark:/99166/w6rr294h
http://id.loc.gov/authorities/names/no2003059591,http://n2t.net/ark:/99166/w66q2dgx
http://id.loc.gov/authorities/names/no96048808,http://n2t.net/ark:/99166/w6wm3qm0
http://id.loc.gov/authorities/names/n50024270,http://n2t.net/ark:/99166/w64f1rv7
http://id.loc.gov/authorities/names/n94091866,http://n2t.net/ark:/99166/w6863ps3
http://id.loc.gov/authorities/names/n97028404,http://n2t.net/ark:/99166/w6sr15dc
http://id.loc.gov/authorities/names/n85185663,http://n2t.net/ark:/99166/w63x8ssx
http://id.loc.gov/authorities/names/n96094496,http://n2t.net/ark:/99166/w6k94jt3
http://id.loc.gov/authorities/names/nr2001011133,http://n2t.net/ark:/99166/w6q81fs5
http://id.loc.gov/authorities/names/n85352473,http://n2t.net/ark:/99166/w6vh67nf
http://id.loc.gov/authorities/names/n88023713,http://n2t.net/ark:/99166/w6qr5h92
http://id.loc.gov/authorities/names/n86130321,http://n2t.net/ark:/99166/w6s18x7n
http://id.loc.gov/authorities/names/n83041838,http://n2t.net/ark:/99166/w6mc9khc
http://id.loc.gov/authorities/names/n88071999,http://n2t.net/ark:/99166/w61v5tn3
http://id.loc.gov/authorities/names/n86139803,http://n2t.net/ark:/99166/w69z9qxg
http://id.loc.gov/authorities/names/n85305814,http://n2t.net/ark:/99166/w67p9jnf
http://id.loc.gov/authorities/names/nr92026904,http://n2t.net/ark:/99166/w6mk984s
http://id.loc.gov/authorities/names/no2004081965,http://n2t.net/ark:/99166/w68b3wtd
http://id.loc.gov/authorities/names/n50024335,http://n2t.net/ark:/99166/w6bp0k9w
http://id.loc.gov/authorities/names/n83061562,http://n2t.net/ark:/99166/w66v152n
http://id.loc.gov/authorities/names/n81015078,http://n2t.net/ark:/99166/w6mw339s
http://id.loc.gov/authorities/names/no2011013040,http://n2t.net/ark:/99166/w6cg08qs
http://id.loc.gov/authorities/names/n50054037,http://n2t.net/ark:/99166/w60s03hq
http://id.loc.gov/authorities/names/n79041680,http://n2t.net/ark:/99166/w6wm1cj6
http://id.loc.gov/authorities/names/n79055339,http://n2t.net/ark:/99166/w6bc46xt
http://id.loc.gov/authorities/names/n50017906,http://n2t.net/ark:/99166/w6hq48gt
http://id.loc.gov/authorities/names/n79075625,http://n2t.net/ark:/99166/w6vk190j
http://id.loc.gov/authorities/names/n85098626,http://n2t.net/ark:/99166/w6w0983z
http://id.loc.gov/authorities/names/n82107884,http://n2t.net/ark:/99166/w6m90v0v
http://id.loc.gov/authorities/names/n85198544,http://n2t.net/ark:/99166/w6321vvc
http://id.loc.gov/authorities/names/n83047903,http://n2t.net/ark:/99166/w62v2rkj
http://id.loc.gov/authorities/names/n80009859,http://n2t.net/ark:/99166/w63r0vk9
http://id.loc.gov/authorities/names/n50049255,http://n2t.net/ark:/99166/w6xp7r0v
http://id.loc.gov/authorities/names/n96045520,http://n2t.net/ark:/99166/w6br9fqq
http://id.loc.gov/authorities/names/nr92008505,http://n2t.net/ark:/99166/w6qv45w6
http://id.loc.gov/authorities/names/n90695729,http://n2t.net/ark:/99166/w6zg78wz
http://id.loc.gov/authorities/names/n87860525,http://n2t.net/ark:/99166/w6m04f60
http://id.loc.gov/authorities/names/n50043988,http://n2t.net/ark:/99166/w63r1769
http://id.loc.gov/authorities/names/n86147070,http://n2t.net/ark:/99166/w69j0cq3
http://id.loc.gov/authorities/names/n50028896,http://n2t.net/ark:/99166/w6rn3v9q
http://id.loc.gov/authorities/names/n79058622,http://n2t.net/ark:/99166/w6z3212m
http://id.loc.gov/authorities/names/n85813200,http://n2t.net/ark:/99166/w68s4z61
http://id.loc.gov/authorities/names/n81043531,http://n2t.net/ark:/99166/w62z1hn6
http://id.loc.gov/authorities/names/n82128914,http://n2t.net/ark:/99166/w6gx4x22
http://id.loc.gov/authorities/names/nr93052494,http://n2t.net/ark:/99166/w6n58kpg
http://id.loc.gov/authorities/names/n83329060,http://n2t.net/ark:/99166/w6rj5wwg
